Site	year	DOY	time	S_dn	Rn	G	H	LE	T_A1	u	T_S	T_C	T_R1	RH	ea	LAI	h_C	f_c	VZA	T_A0	T_R0
1	1990	222	4.5	0	-49	-67	6	-24	291.05	1.37	290.13	288.38	288.7	84	17.21699262	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	5.5	4	-49	-69	10	-30	290.58	1.66	289.16	287.78	287.89	86	17.11197935	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	6.5	115	12	-44	-22	-34	291.21	1.14	290.01	290.19	289.21	85	17.59826147	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	7.5	322	154	26	-70	-58	295.03	1.09	294.99	293.65	293.44	72	18.88943554	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	8.5	537	301	101	-84	-116	298.2	0.74	303	296.47	299.34	56	17.79060523	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	9.5	736	433	156	-118	-160	301.18	4.57	311.3	300.46	305.81	37	14.01422874	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	10.5	891	529	186	-184	-159	302.1	5.17	318.25	302.21	310.7	33	13.18619962	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	11.5	952	568	187	-229	-153	302.78	5.62	322.8	303.3	313.89	30	12.46816168	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	12.5	927	555	160	-226	-168	303.39	5.37	324.43	303.8	315.07	29	12.4831641	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	13.5	973	579	154	-232	-192	304.46	5.54	327.61	305.46	317.6	24	10.98288831	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	14.5	866	504	105	-201	-197	304.73	6.15	325.84	305.58	316.53	17	7.900022649	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	15.5	712	401	71	-166	-164	304.8	5.2	323.28	305.25	314.83	16	7.464961618	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	16.5	480	243	27	-102	-114	304.44	4.82	317.63	304.15	310.95	17	7.770685779	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	17.5	203	60	-35	-27	-68	303.37	4.63	309.47	301.87	305.14	19	8.169237222	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	18.5	47	-38	-70	24	-58	301.53	2.86	302.91	299.26	300.2	24	9.277647855	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	19.5	1	-61	-83	26	-48	298.95	2.35	298.89	295.62	296.51	33	10.96213409	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	20.5	0	-59	-85	23	-48	297.12	2.57	296.62	294.49	294.73	37	11.01814527	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	21.5	0	-58	-85	26	-53	295.31	2.42	294.73	292.61	292.93	41	10.94187378	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	22.5	0	-49	-78	21	-49	294.8	2.53	294.33	292.91	292.79	44	11.3823338	0.5	0.5	0.28	0	295.03	293.44
1	1990	222	23.5	0	-49	-68	22	-41	295.01	2.17	293.8	292.77	292.41	44	11.52944665	0.5	0.5	0.28	0	295.03	293.44
