Year	DOY	Time	LAI	f_g	skyl	VZA	SZA	SAA	L_sky	Rn_model	Rn_sw_veg	Rn_sw_soil	Rn_lw_veg	Rn_lw_soil	Tc	Ts	Tac	LE_model	H_model	LE_c	H_c	LE_s	H_s	flag	zo	d	G_model	R_s	R_x	R_a	u_friction	L	n_iterations
1990.0	209.0	0.5	0.5	1.0	1.0	0.0	129.42099239597218	0.26892128767174467	333.90923754980275	-62.299427894617295	0.0	0.0	-86.1932541685323	23.89382627391501	292.5839971482933	286.7937371263338	0	42.647306545563396	-17.946734440180688	-78.54105482352287	-7.652199345009438	121.18836136908627	-10.294535095171248	0	0.12963007746071073	0.17135885016248636	-87.0	346.06190009513074	8.724999069882747	45.17704274038269	0.18582468262655438	33.377651098014674	0
1990.0	209.0	1.5	0.5	1.0	1.0	0.0	127.47289039531424	17.711931642674223	331.1942987870146	-61.72441748409342	0.0	0.0	-83.05069154986786	21.32627406577444	291.7558524796104	286.6670508655254	0	43.859708800407404	-20.584126284500822	-74.45996491987013	-8.590726629997734	118.31967372027754	-11.993399654503088	0	0.12963007746071073	0.17135885016248636	-85.0	235.43352395411594	7.196521826544072	28.281646275232816	0.27314225125752656	90.3642147217854	0
1990.0	209.0	2.5	0.5	1.0	1.0	0.0	121.9191226110364	33.62889208683299	332.55203104331923	-62.78355385714153	0.0	0.0	-85.03121778959124	22.24766393244971	292.24789937667225	286.95954028861337	0	34.42577405909408	-20.209327916235605	-76.85267926721814	-8.178538522373099	111.27845332631222	-12.030789393862506	0	0.12963007746071073	0.17135885016248636	-77.0	251.37309193682438	7.436145671717069	30.559989054154066	0.2558223008629809	72.91914456582265	0
1990.0	209.0	3.5	0.5	1.0	1.0	0.0	113.66883034011073	46.709716812182194	331.68655374438225	-63.73391839550089	0.0	0.0	-80.79616993424298	17.06225153874209	292.03249580757006	287.7309947365162	0	21.420172415738193	-16.154090811239087	-72.63887008831713	-8.157299845925843	94.05904250405533	-7.996790965313243	0	0.12963007746071073	0.17135885016248636	-69.0	252.81299709160518	7.457412973672893	30.138319344491713	0.2543652561146564	86.89767483913701	0
1990.0	209.0	4.5	0.5	1.0	1.0	0.0	103.60595689637158	57.29130046571194	343.0410775056212	-50.99140883022727	0.0	0.0	-77.60072697681659	26.609318146589317	292.1835214109746	286.3940773040511	0	37.64717200819162	-17.638580838418882	-70.27357163006825	-7.32715534674834	107.92074363825986	-10.311425491670542	0	0.12963007746071073	0.17135885016248636	-71.0	345.7720850596238	8.72134486011866	45.101405961080225	0.18598043489609978	33.34392844360554	0
1990.0	209.0	5.5	0.5	1.0	1.0	0.0	92.37439115927245	66.0673343896737	341.8103665536565	-40.95571637787283	4.979118164114363	2.2832493982178366	-75.00372578200553	26.785641841800498	291.43711548684865	285.67965134746225	0	43.83493859140707	-15.790654969279903	-62.81028216566405	-7.214325452227115	106.64522075707112	-8.576329517052788	0	0.12963007746071073	0.17135885016248636	-69.0	416.26745736480086	9.569180034486125	56.986167916438596	0.15448443450616411	22.608529823784526	0
1990.0	209.0	6.5	0.5	1.0	0.6680467248910418	0.0	80.39908171623486	73.71315514516857	345.0646750274197	58.15773531524367	85.8367821789784	23.852472449175682	-75.36745738414697	23.83593807123657	292.51780727288013	287.3079824287988	0	103.36706763484615	-6.209332319602475	9.452394175537863	1.0169306192935583	93.91467345930829	-7.226262938896033	0	0.12963007746071073	0.17135885016248636	-39.0	402.30042857275413	9.407272901902253	52.05210005896907	0.15984781070818685	-220.17515868383157	0
1990.0	209.0	7.5	0.5	1.0	0.6390747142698072	0.0	67.96281125778542	80.83809241470817	355.5527567700092	214.63309642834508	207.7760661018678	70.88203881630852	-82.37367970633902	18.348671216507796	296.4999760543414	292.00928394742857	0	179.13043499696016	6.502661431384953	117.41452938562405	7.987857009904735	61.7159056113361	-1.4851955785197815	0	0.12963007746071073	0.17135885016248636	29.0	1326.7215203317453	17.08356019247247	148.97493903817835	0.048470490429853116	-0.44104793382854823	0
1990.0	209.0	8.5	0.5	1.0	0.5571689326197174	0.0	55.274979763837784	88.09499354880091	359.77068007555727	363.4196563488736	309.8664135258725	139.43942506250684	-76.88923577390464	-8.996946465601013	298.6180394232313	300.8593385064755	0	227.85950626037726	33.56015008849641	223.8285701408057	9.148607611162113	4.030936119571535	24.411542477334294	0	0.12963007746071073	0.17135885016248636	102.0	185.06481555063218	11.842877019501978	36.89789952505727	0.10086018014769445	-1.5576214922704814	0
1990.0	209.0	9.5	0.5	1.0	0.4613944280625174	0.0	42.538351112994604	96.46256424666997	366.39768434705405	481.5166745868239	361.7792646580597	230.83240776473272	-83.61476059618548	-27.48023723978298	305.2231530419706	305.65516991280384	0	107.49901000001162	213.01766458681232	100.116528265964	178.0479757959102	7.382481734047616	34.969688790902126	3	0.12963007746071073	0.17135885016248636	161.0	110.18765861964712	7.161983931968461	20.817388454762128	0.27578300136489825	-7.299642173118705	0
1990.0	209.0	10.5	0.5	1.0	0.37803436944673485	0.0	30.074531292125794	108.09104374488979	370.4061722898019	566.9427417247591	371.05562079018046	320.7338278915938	-76.31949000251214	-48.5272169545031	307.20406132099686	310.07495693009884	0	40.65717903150147	338.2855626932576	37.53917969804456	257.1969510896238	3.1179993334569076	81.08861160363381	3	0.12963007746071073	0.17135885016248636	188.0	79.9230451035163	5.459545656152182	13.55586291780364	0.474592831406767	-24.09828664034438	0
1990.0	209.0	11.5	0.5	1.0	0.31859404074287234	0.0	18.821908462979184	129.6372615127544	370.0431711338017	596.2396803269041	370.0680671465983	380.6295260109523	-66.2367274641939	-88.22118536645257	309.82818068860615	317.56894227527874	0	0.0	397.23968032690414	0.0	303.8313396824044	0	93.40834064449973	5	0.12963007746071073	0.17135885016248636	199.0	77.02780803517891	5.568184008517669	13.372903315631973	0.4562543530022625	-16.04326890194488	0
1990.0	209.0	12.5	0.5	1.0	0.29853944687892653	0.0	12.902946081571464	179.06963680860275	372.8901525594352	627.098530325241	369.6057909129569	400.1108891461242	-69.49541740450235	-73.12273232933762	309.26325448191096	314.92211592375986	0	21.607910107627845	421.49062021761324	14.604756828231018	285.5056166802235	7.003153279396827	135.98500353738973	3	0.12963007746071073	0.17135885016248636	184.0	68.16945053381528	4.880046478551915	11.079715335785243	0.5939997493764977	-38.108233520696686	0
1990.0	209.0	13.5	0.5	1.0	0.3228341381039695	0.0	18.53635891093925	229.42034291713358	370.91822770545946	582.3770989331537	369.29913255196533	379.84204381784815	-63.04786321191163	-103.71621422474823	311.1136213901161	320.6253486431604	0	0.0	424.3770989331536	0.0	306.2512693400537	0	118.12582959309992	5	0.12963007746071073	0.17135885016248636	158.0	66.09593691852986	4.888556793818374	10.888109463733326	0.5919334033343758	-31.479291805754656	0
1990.0	209.0	14.5	0.5	1.0	0.3945782889908918	0.0	29.72008530681918	251.47403376489177	371.22993850848076	518.1403274598558	367.07568550565816	316.8913636285256	-58.00095113366925	-107.82577054065865	310.7453174592908	321.3483949886674	0	0.0	406.1403274598559	0.0	309.07473437198894	0	97.06559308786694	5	0.12963007746071073	0.17135885016248636	112.0	56.469614049020024	4.3170477636220275	8.809344433680268	0.7590326734438477	-59.95840018547346	0
1990.0	209.0	15.5	0.5	1.0	0.48957080790465624	0.0	42.167482065868974	263.25940965516065	368.7280492774279	419.4616849794347	352.45171207332555	225.6675855333805	-72.14238682448651	-86.51522580278481	310.33404591415973	318.65300892300223	0	0.0	341.4616849794347	0.0	280.30932524883906	0	61.15235973059569	5	0.12963007746071073	0.17135885016248636	78.0	61.134831798214826	4.531468006476168	9.67198100252277	0.68890024978791	-53.088886320230586	0
1990.0	209.0	16.5	0.5	1.0	0.5870030453122925	0.0	54.901818258571616	271.68221845944936	367.58039527173696	294.78332265653205	298.72543828872216	136.53498033118723	-85.5146218180284	-54.96247414534895	308.5715879758051	313.507430213182	0	0.0	256.78332265653205	0.0	213.21081647069377	0	43.57250618583828	5	0.12963007746071073	0.17135885016248636	38.0	62.20429184580528	4.459447832844831	9.576511173194328	0.711331437152174	-80.62538131647267	0
1990.0	209.0	17.5	0.5	1.0	0.6772096428443706	0.0	67.59412305060626	278.95497772364	363.4715119817092	146.40957262611533	195.806419377142	69.6280110473225	-90.10113490300286	-28.923722895346316	305.44227316207326	307.29816061101025	0	40.50976982548826	127.89980280062706	39.642938419462396	66.06234605467674	0.8668314060258666	61.83745674595032	3	0.12963007746071073	0.17135885016248636	-22.0	70.95940946817805	4.649045066704355	10.627079483729425	0.6544955018285205	-164.5696894749913	0
1990.0	209.0	18.5	0.5	1.0	0.7605783190150703	0.0	80.04052560357007	286.07383474723497	354.6898419663957	-7.380293615944325	71.98462129753037	23.414782938857723	-106.67611038615101	3.896412533818591	302.58835012515976	299.48029032118774	0	64.29973007114141	-7.680023687085736	-35.25501169967724	0.5635226110565994	99.55474177081865	-8.243546298142336	0	0.12963007746071073	0.17135885016248636	-64.0	84.61213205870156	4.314245100940274	9.52168020395725	0.7600191744335875	12280.555132107978	0
